ServiceNo,Direction,StopSequence,BusStopCode
10,1,1,75009
10,1,2,76059
10,1,3,76069
10,1,4,96289
10,1,5,96109
10,1,6,85079
10,1,7,85089
10,1,8,85069
10,1,9,85059
10,1,10,85049
10,1,11,85039
10,1,12,85029
10,1,13,85019
10,1,14,94079
10,1,15,94069
10,1,16,94059
10,1,17,94049
10,1,18,94089
10,1,19,94039
10,1,20,94029
10,1,21,94019
10,1,22,93099
10,1,23,93089
10,1,24,93079
10,1,25,93069
10,1,26,93059
10,1,27,92159
10,1,28,92149
10,1,29,92139
10,1,30,92129
10,1,31,92119
10,1,32,92109
10,1,33,92099
10,1,34,92161
10,1,35,82071
10,1,36,81199
10,1,37,81189
10,1,38,81179
10,1,39,80141
10,1,40,80219
10,1,41,80169
10,1,42,80159
10,1,43,02119
10,1,44,03019
10,1,45,03059
10,1,46,03129
10,1,47,03217
10,1,48,05649
10,1,49,14061
10,1,50,14071
10,1,51,14081
10,1,52,14101
10,1,53,14141
10,1,54,14121
10,1,55,14131
10,1,56,14151
10,1,57,14161
10,1,58,14171
10,1,59,15141
10,1,60,15151
10,1,61,15161
10,1,62,15191
10,1,63,15201
10,1,64,15221
10,1,65,16201
10,1,66,16011
10,1,67,16021
10,1,68,16031
10,1,69,16041
10,1,70,16051
10,1,71,16061
10,1,72,16071
10,1,73,16081
10,1,74,16009
10,2,1,16009
10,2,2,16089
10,2,3,16079
10,2,4,16069
10,2,5,16059
10,2,6,16049
10,2,7,16039
10,2,8,16029
10,2,9,16019
10,2,10,16209
10,2,11,15229
10,2,12,15219
10,2,13,15209
10,2,14,15199
10,2,15,15169
10,2,16,15159
10,2,17,15149
10,2,18,14189
10,2,19,14179
10,2,20,14169
10,2,21,14159
10,2,22,14139
10,2,23,14129
10,2,24,14119
10,2,25,14109
10,2,26,14089
10,2,27,14069
10,2,28,05641
10,2,29,03222
10,2,30,03111
10,2,31,03071
10,2,32,03031
10,2,33,03011
10,2,34,02111
10,2,35,80151
10,2,36,80161
10,2,37,80211
10,2,38,80149
10,2,39,81171
10,2,40,81181
10,2,41,81191
10,2,42,82079
10,2,43,92169
10,2,44,92091
10,2,45,92101
10,2,46,92111
10,2,47,92121
10,2,48,92131
10,2,49,92141
10,2,50,92151
10,2,51,93051
10,2,52,93061
10,2,53,93071
10,2,54,93081
10,2,55,93091
10,2,56,94011
10,2,57,94021
10,2,58,94031
10,2,59,94041
10,2,60,94051
10,2,61,94061
10,2,62,94071
10,2,63,85021
10,2,64,85031
10,2,65,85041
10,2,66,85051
10,2,67,85061
10,2,68,85081
10,2,69,85071
10,2,70,96101
10,2,71,96281
10,2,72,76061
10,2,73,76051
10,2,74,75009
100,1,1,66009
100,1,2,62129
100,1,3,62119
100,1,4,61049
100,1,5,61039
100,1,6,70069
100,1,7,70059
100,1,8,70049
100,1,9,70039
100,1,10,70029
100,1,11,70019
100,1,12,81099
100,1,13,81089
100,1,14,80089
100,1,15,80069
100,1,16,80049
100,1,17,80039
100,1,18,80029
100,1,19,01339
100,1,20,01349
100,1,21,01429
100,1,22,01419
100,1,23,01529
100,1,24,01519
100,1,25,01629
100,1,26,01619
100,1,27,02029
100,1,28,03019
100,1,29,03059
100,1,30,03129
100,1,31,03217
100,1,32,05649
100,1,33,14061
100,1,34,14071
100,1,35,14081
100,1,36,14101
100,1,37,14141
100,1,38,14121
100,1,39,14131
100,1,40,14151
100,1,41,14161
100,1,42,14171
100,1,43,15041
100,1,44,15051
100,1,45,18011
100,1,46,11511
100,1,47,11021
100,1,48,11031
100,1,49,11041
100,1,50,11051
100,1,51,11161
100,1,52,11171
100,1,53,11181
100,1,54,11351
100,1,55,11009
100,2,1,11009
100,2,2,11359
100,2,3,11189
100,2,4,11179
100,2,5,11169
100,2,6,11059
100,2,7,11049
100,2,8,11039
100,2,9,11029
100,2,10,11519
100,2,11,18019
100,2,12,15059
100,2,13,15049
100,2,14,14189
100,2,15,14179
100,2,16,14169
100,2,17,14159
100,2,18,14139
100,2,19,14129
100,2,20,14119
100,2,21,14109
100,2,22,14089
100,2,23,14069
100,2,24,05641
100,2,25,03222
100,2,26,03111
100,2,27,03031
100,2,28,03011
100,2,29,02111
100,2,30,01611
100,2,31,01621
100,2,32,01511
100,2,33,01521
100,2,34,01411
100,2,35,01421
100,2,36,01341
100,2,37,80011
100,2,38,80031
100,2,39,80051
100,2,40,80071
100,2,41,80091
100,2,42,81081
100,2,43,81091
100,2,44,70011
100,2,45,70021
100,2,46,70031
100,2,47,70041
100,2,48,70051
100,2,49,70061
100,2,50,61031
100,2,51,61041
100,2,52,62111
100,2,53,62121
100,2,54,66009
100A,1,1,66009
100A,1,2,62129
100A,1,3,62119
100A,1,4,61049
100A,1,5,61039
100A,1,6,70069
100A,1,7,70059
100A,1,8,70049
100A,1,9,70039
100A,1,10,70029
100A,1,11,70019
100A,1,12,81099
100A,1,13,81089
101,1,1,66009
101,1,2,62131
101,1,3,62141
101,1,4,63011
101,1,5,63021
101,1,6,63031
101,1,7,63041
101,1,8,63051
101,1,9,63061
101,1,10,64011
101,1,11,64541
101,1,12,64551
101,1,13,64529
101,1,14,64339
101,1,15,64341
101,1,16,64351
101,1,17,64431
101,1,18,64441
101,1,19,64461
101,1,20,66499
101,1,21,66541
101,1,22,66551
101,1,23,66561
101,1,24,66571
101,1,25,66581
101,1,26,66549
101,1,27,66491
101,1,28,64619
101,1,29,64561
101,1,30,64359
101,1,31,64349
101,1,32,64331
101,1,33,64521
101,1,34,64559
101,1,35,64549
101,1,36,64019
101,1,37,63069
101,1,38,63059
101,1,39,63049
101,1,40,63039
101,1,41,63029
101,1,42,63019
101,1,43,62149
101,1,44,62189
101,1,46,66009
102,1,1,64009
102,1,2,64041
102,1,3,64051
102,1,4,64061
102,1,5,64401
102,1,6,67739
102,1,7,67729
102,1,8,67719
102,1,9,67609
102,1,10,67619
102,1,11,67341
102,1,12,67199
102,1,13,67189
102,1,14,67409
102,1,15,67399
102,1,16,67389
102,1,17,67549
102,1,18,67559
102,1,19,67569
102,1,20,67579
102,1,21,68031
102,1,22,68051
102,1,23,68111
102,1,24,68099
102,1,25,68209
102,1,26,68239
102,1,27,68201
102,1,28,68091
102,1,29,68119
102,1,30,68059
102,1,31,68049
102,1,32,68039
102,1,33,67571
102,1,34,67561
102,1,35,67551
102,1,36,67541
102,1,37,67381
102,1,38,67391
102,1,39,67401
102,1,40,67181
102,1,41,67191
102,1,42,67349
102,1,43,67611
102,1,44,67601
102,1,45,67711
102,1,46,67721
102,1,47,67731
102,1,48,64409
